Author,Book,PoemTitle,Poem
Emily Dickinson,"Poems: Three Series, Complete",IN A LIBRARY.,"A precious, mouldering pleasure 't is
To meet an antique book,
In just the dress his century wore;
A privilege, I think,
His venerable hand to take,
And warming in our own,
A passage back, or two, to make
To times when he was young.
His quaint opinions to inspect,
His knowledge to unfold
On what concerns our mutual mind,
The literature of old;
What interested scholars most,
What competitions ran
When Plato was a certainty.
And Sophocles a man;
When Sappho was a living girl,
And Beatrice wore
The gown that Dante deified.
Facts, centuries before,
He traverses familiar,
As one should come to town
And tell you all your dreams were true;
He lived where dreams were sown.
His presence is enchantment,
You beg him not to go;
Old volumes shake their vellum heads
And tantalize, just so."
Emily Dickinson,"Poems: Three Series, Complete",XI.,"Much madness is divinest sense
To a discerning eye;
Much sense the starkest madness.
'T is the majority
In this, as all, prevails.
Assent, and you are sane;
Demur, -- you're straightway dangerous,
And handled with a chain."
Emily Dickinson,"Poems: Three Series, Complete",XII.,"I asked no other thing,
No other was denied.
I offered Being for it;
The mighty merchant smiled.
Brazil? He twirled a button,
Without a glance my way:
""But, madam, is there nothing else
That we can show to-day?"""
Emily Dickinson,"Poems: Three Series, Complete",EXCLUSION.,"The soul selects her own society,
Then shuts the door;
On her divine majority
Obtrude no more.
Unmoved, she notes the chariot's pausing
At her low gate;
Unmoved, an emperor is kneeling
Upon her mat.
I've known her from an ample nation
Choose one;
Then close the valves of her attention
Like stone."
Emily Dickinson,"Poems: Three Series, Complete",THE SECRET.,"Some things that fly there be, --
Birds, hours, the bumble-bee:
Of these no elegy.
Some things that stay there be, --
Grief, hills, eternity:
Nor this behooveth me.
There are, that resting, rise.
Can I expound the skies?
How still the riddle lies!"
Emily Dickinson,"Poems: Three Series, Complete",THE LONELY HOUSE.,"I know some lonely houses off the road
A robber 'd like the look of, --
Wooden barred,
And windows hanging low,
Inviting to
A portico,
Where two could creep:
One hand the tools,
The other peep
To make sure all's asleep.
Old-fashioned eyes,
Not easy to surprise!
How orderly the kitchen 'd look by night,
With just a clock, --
But they could gag the tick,
And mice won't bark;
And so the walls don't tell,
None will.
A pair of spectacles ajar just stir --
An almanac's aware.
Was it the mat winked,
Or a nervous star?
The moon slides down the stair
To see who's there.
There's plunder, -- where?
Tankard, or spoon,
Earring, or stone,
A watch, some ancient brooch
To match the grandmamma,
Staid sleeping there.
Day rattles, too,
Stealth's slow;
The sun has got as far
As the third sycamore.
Screams chanticleer,
""Who's there?""
And echoes, trains away,
Sneer -- ""Where?""
While the old couple, just astir,
Fancy the sunrise left the door ajar!"
Emily Dickinson,"Poems: Three Series, Complete",XVI.,"To fight aloud is very brave,
But gallanter, I know,
Who charge within the bosom,
The cavalry of woe.
Who win, and nations do not see,
Who fall, and none observe,
Whose dying eyes no country
Regards with patriot love.
We trust, in plumed procession,
For such the angels go,
Rank after rank, with even feet
And uniforms of snow."
Emily Dickinson,"Poems: Three Series, Complete",DAWN.,"When night is almost done,
And sunrise grows so near
That we can touch the spaces,
It 's time to smooth the hair
And get the dimples ready,
And wonder we could care
For that old faded midnight
That frightened but an hour."
Emily Dickinson,"Poems: Three Series, Complete",THE BOOK OF MARTYRS.,"Read, sweet, how others strove,
Till we are stouter;
What they renounced,
Till we are less afraid;
How many times they bore
The faithful witness,
Till we are helped,
As if a kingdom cared!
Read then of faith
That shone above the fagot;
Clear strains of hymn
The river could not drown;
Brave names of men
And celestial women,
Passed out of record
Into renown!"
Emily Dickinson,"Poems: Three Series, Complete",THE MYSTERY OF PAIN.,"Pain has an element of blank;
It cannot recollect
When it began, or if there were
A day when it was not.
It has no future but itself,
Its infinite realms contain
Its past, enlightened to perceive
New periods of pain."
Emily Dickinson,"Poems: Three Series, Complete",XX.,"I taste a liquor never brewed,
From tankards scooped in pearl;
Not all the vats upon the Rhine
Yield such an alcohol!
Inebriate of air am I,
And debauchee of dew,
Reeling, through endless summer days,
From inns of molten blue.
When landlords turn the drunken bee
Out of the foxglove's door,
When butterflies renounce their drams,
I shall but drink the more!
Till seraphs swing their snowy hats,
And saints to windows run,
To see the little tippler
Leaning against the sun!"
Emily Dickinson,"Poems: Three Series, Complete",A BOOK.,"He ate and drank the precious words,
His spirit grew robust;
He knew no more that he was poor,
Nor that his frame was dust.
He danced along the dingy days,
And this bequest of wings
Was but a book. What liberty
A loosened spirit brings!"
Emily Dickinson,"Poems: Three Series, Complete",XXII.,"I had no time to hate, because
The grave would hinder me,
And life was not so ample I
Could finish enmity.
Nor had I time to love; but since
Some industry must be,
The little toil of love, I thought,
Was large enough for me."
Emily Dickinson,"Poems: Three Series, Complete",UNRETURNING.,"'T was such a little, little boat
That toddled down the bay!
'T was such a gallant, gallant sea
That beckoned it away!
'T was such a greedy, greedy wave
That licked it from the coast;
Nor ever guessed the stately sails
My little craft was lost!"
Emily Dickinson,"Poems: Three Series, Complete",XXIV.,"Whether my bark went down at sea,
Whether she met with gales,
Whether to isles enchanted
She bent her docile sails;
By what mystic mooring
She is held to-day, --
This is the errand of the eye
Out upon the bay."
Emily Dickinson,"Poems: Three Series, Complete",XXV.,"Belshazzar had a letter, --
He never had but one;
Belshazzar's correspondent
Concluded and begun
In that immortal copy
The conscience of us all
Can read without its glasses
On revelation's wall."
Emily Dickinson,"Poems: Three Series, Complete",XXVI.,"The brain within its groove
Runs evenly and true;
But let a splinter swerve,
'T were easier for you
To put the water back
When floods have slit the hills,
And scooped a turnpike for themselves,
And blotted out the mills!"
Emily Dickinson,"Poems: Three Series, Complete",MINE.,"Mine by the right of the white election!
Mine by the royal seal!
Mine by the sign in the scarlet prison
Bars cannot conceal!
Mine, here in vision and in veto!
Mine, by the grave's repeal
Titled, confirmed, -- delirious charter!
Mine, while the ages steal!"
Emily Dickinson,"Poems: Three Series, Complete",BEQUEST.,"You left me, sweet, two legacies, --
A legacy of love
A Heavenly Father would content,
Had He the offer of;
You left me boundaries of pain
Capacious as the sea,
Between eternity and time,
Your consciousness and me."
Emily Dickinson,"Poems: Three Series, Complete",III.,"Alter? When the hills do.
Falter? When the sun
Question if his glory
Be the perfect one.
Surfeit? When the daffodil
Doth of the dew:
Even as herself, O friend!
I will of you!"
Emily Dickinson,"Poems: Three Series, Complete",SUSPENSE.,"Elysium is as far as to
The very nearest room,
If in that room a friend await
Felicity or doom.
What fortitude the soul contains,
That it can so endure
The accent of a coming foot,
The opening of a door!"
Emily Dickinson,"Poems: Three Series, Complete",SURRENDER.,"Doubt me, my dim companion!
Why, God would be content
With but a fraction of the love
Poured thee without a stint.
The whole of me, forever,
What more the woman can, --
Say quick, that I may dower thee
With last delight I own!
It cannot be my spirit,
For that was thine before;
I ceded all of dust I knew, --
What opulence the more
Had I, a humble maiden,
Whose farthest of degree
Was that she might,
Some distant heaven,
Dwell timidly with thee!"
Emily Dickinson,"Poems: Three Series, Complete",VI.,"If you were coming in the fall,
I'd brush the summer by
With half a smile and half a spurn,
As housewives do a fly.
If I could see you in a year,
I'd wind the months in balls,
And put them each in separate drawers,
Until their time befalls.
If only centuries delayed,
I'd count them on my hand,
Subtracting till my fingers dropped
Into Van Diemen's land.
If certain, when this life was out,
That yours and mine should be,
I'd toss it yonder like a rind,
And taste eternity.
But now, all ignorant of the length
Of time's uncertain wing,
It goads me, like the goblin bee,
That will not state its sting."
Emily Dickinson,"Poems: Three Series, Complete",WITH A FLOWER.,"I hide myself within my flower,
That wearing on your breast,
You, unsuspecting, wear me too --
And angels know the rest.
I hide myself within my flower,
That, fading from your vase,
You, unsuspecting, feel for me
Almost a loneliness."
Emily Dickinson,"Poems: Three Series, Complete",PROOF.,"That I did always love,
I bring thee proof:
That till I loved
I did not love enough.
That I shall love alway,
I offer thee
That love is life,
And life hath immortality.
This, dost thou doubt, sweet?
Then have I
Nothing to show
But Calvary."
Emily Dickinson,"Poems: Three Series, Complete",IX.,"Have you got a brook in your little heart,
Where bashful flowers blow,
And blushing birds go down to drink,
And shadows tremble so?
And nobody knows, so still it flows,
That any brook is there;
And yet your little draught of life
Is daily drunken there.
Then look out for the little brook in March,
When the rivers overflow,
And the snows come hurrying from the hills,
And the bridges often go.
And later, in August it may be,
When the meadows parching lie,
Beware, lest this little brook of life
Some burning noon go dry!"
Emily Dickinson,"Poems: Three Series, Complete",TRANSPLANTED.,"As if some little Arctic flower,
Upon the polar hem,
Went wandering down the latitudes,
Until it puzzled came
To continents of summer,
To firmaments of sun,
To strange, bright crowds of flowers,
And birds of foreign tongue!
I say, as if this little flower
To Eden wandered in --
What then? Why, nothing, only,
Your inference therefrom!"
Emily Dickinson,"Poems: Three Series, Complete",THE OUTLET.,"My river runs to thee:
Blue sea, wilt welcome me?
My river waits reply.
Oh sea, look graciously!
I'll fetch thee brooks
From spotted nooks, --
Say, sea,
Take me!"
Emily Dickinson,"Poems: Three Series, Complete",IN VAIN.,"I cannot live with you,
It would be life,
And life is over there
Behind the shelf
The sexton keeps the key to,
Putting up
Our life, his porcelain,
Like a cup
Discarded of the housewife,
Quaint or broken;
A newer Sevres pleases,
Old ones crack.
I could not die with you,
For one must wait
To shut the other's gaze down, --
You could not.
And I, could I stand by
And see you freeze,
Without my right of frost,
Death's privilege?
Nor could I rise with you,
Because your face
Would put out Jesus',
That new grace
Glow plain and foreign
On my homesick eye,
Except that you, than he
Shone closer by.
They'd judge us -- how?
For you served Heaven, you know,
Or sought to;
I could not,
Because you saturated sight,
And I had no more eyes
For sordid excellence
As Paradise.
And were you lost, I would be,
Though my name
Rang loudest
On the heavenly fame.
And were you saved,
And I condemned to be
Where you were not,
That self were hell to me.
So we must keep apart,
You there, I here,
With just the door ajar
That oceans are,
And prayer,
And that pale sustenance,
Despair!"
Emily Dickinson,"Poems: Three Series, Complete",RENUNCIATION.,"There came a day at summer's full
Entirely for me;
I thought that such were for the saints,
Where revelations be.
The sun, as common, went abroad,
The flowers, accustomed, blew,
As if no soul the solstice passed
That maketh all things new.
The time was scarce profaned by speech;
The symbol of a word
Was needless, as at sacrament
The wardrobe of our Lord.
Each was to each the sealed church,
Permitted to commune this time,
Lest we too awkward show
At supper of the Lamb.
The hours slid fast, as hours will,
Clutched tight by greedy hands;
So faces on two decks look back,
Bound to opposing lands.
And so, when all the time had failed,
Without external sound,
Each bound the other's crucifix,
We gave no other bond.
Sufficient troth that we shall rise --
Deposed, at length, the grave --
To that new marriage, justified
Through Calvaries of Love!"
Emily Dickinson,"Poems: Three Series, Complete",LOVE'S BAPTISM.,"I'm ceded, I've stopped being theirs;
The name they dropped upon my face
With water, in the country church,
Is finished using now,
And they can put it with my dolls,
My childhood, and the string of spools
I've finished threading too.
Baptized before without the choice,
But this time consciously, of grace
Unto supremest name,
Called to my full, the crescent dropped,
Existence's whole arc filled up
With one small diadem.
My second rank, too small the first,
Crowned, crowing on my father's breast,
A half unconscious queen;
But this time, adequate, erect,
With will to choose or to reject.
And I choose -- just a throne."
Emily Dickinson,"Poems: Three Series, Complete",RESURRECTION.,"'T was a long parting, but the time
For interview had come;
Before the judgment-seat of God,
The last and second time
These fleshless lovers met,
A heaven in a gaze,
A heaven of heavens, the privilege
Of one another's eyes.
No lifetime set on them,
Apparelled as the new
Unborn, except they had beheld,
Born everlasting now.
Was bridal e'er like this?
A paradise, the host,
And cherubim and seraphim
The most familiar guest."
Emily Dickinson,"Poems: Three Series, Complete",APOCALYPSE.,"I'm wife; I've finished that,
That other state;
I'm Czar, I'm woman now:
It's safer so.
How odd the girl's life looks
Behind this soft eclipse!
I think that earth seems so
To those in heaven now.
This being comfort, then
That other kind was pain;
But why compare?
I'm wife! stop there!"
Emily Dickinson,"Poems: Three Series, Complete",THE WIFE.,"She rose to his requirement, dropped
The playthings of her life
To take the honorable work
Of woman and of wife.
If aught she missed in her new day
Of amplitude, or awe,
Or first prospective, or the gold
In using wore away,
It lay unmentioned, as the sea
Develops pearl and weed,
But only to himself is known
The fathoms they abide."
Emily Dickinson,"Poems: Three Series, Complete",APOTHEOSIS.,"Come slowly, Eden!
Lips unused to thee,
Bashful, sip thy jasmines,
As the fainting bee,
Reaching late his flower,
Round her chamber hums,
Counts his nectars -- enters,
And is lost in balms!"
Emily Dickinson,"Poems: Three Series, Complete",I.,"New feet within my garden go,
New fingers stir the sod;
A troubadour upon the elm
Betrays the solitude.
New children play upon the green,
New weary sleep below;
And still the pensive spring returns,
And still the punctual snow!"
Emily Dickinson,"Poems: Three Series, Complete",MAY-FLOWER.,"Pink, small, and punctual,
Aromatic, low,
Covert in April,
Candid in May,
Dear to the moss,
Known by the knoll,
Next to the robin
In every human soul.
Bold little beauty,
Bedecked with thee,
Nature forswears
Antiquity."
Emily Dickinson,"Poems: Three Series, Complete",III.,"WHY?
The murmur of a bee
A witchcraft yieldeth me.
If any ask me why,
'T were easier to die
Than tell.
The red upon the hill
Taketh away my will;
If anybody sneer,
Take care, for God is here,
That's all.
The breaking of the day
Addeth to my degree;
If any ask me how,
Artist, who drew me so,
Must tell!"
Emily Dickinson,"Poems: Three Series, Complete",IV.,"Perhaps you'd like to buy a flower?
But I could never sell.
If you would like to borrow
Until the daffodil
Unties her yellow bonnet
Beneath the village door,
Until the bees, from clover rows
Their hock and sherry draw,
Why, I will lend until just then,
But not an hour more!"
Emily Dickinson,"Poems: Three Series, Complete",V.,"The pedigree of honey
Does not concern the bee;
A clover, any time, to him
Is aristocracy."
Emily Dickinson,"Poems: Three Series, Complete",A SERVICE OF SONG.,"Some keep the Sabbath going to church;
I keep it staying at home,
With a bobolink for a chorister,
And an orchard for a dome.
Some keep the Sabbath in surplice;
I just wear my wings,
And instead of tolling the bell for church,
Our little sexton sings.
God preaches, -- a noted clergyman, --
And the sermon is never long;
So instead of getting to heaven at last,
I'm going all along!"
Emily Dickinson,"Poems: Three Series, Complete",VII.,"The bee is not afraid of me,
I know the butterfly;
The pretty people in the woods
Receive me cordially.
The brooks laugh louder when I come,
The breezes madder play.
Wherefore, mine eyes, thy silver mists?
Wherefore, O summer's day?"
Emily Dickinson,"Poems: Three Series, Complete",SUMMER'S ARMIES.,"Some rainbow coming from the fair!
Some vision of the world Cashmere
I confidently see!
Or else a peacock's purple train,
Feather by feather, on the plain
Fritters itself away!
The dreamy butterflies bestir,
Lethargic pools resume the whir
Of last year's sundered tune.
From some old fortress on the sun
Baronial bees march, one by one,
In murmuring platoon!
The robins stand as thick to-day
As flakes of snow stood yesterday,
On fence and roof and twig.
The orchis binds her feather on
For her old lover, Don the Sun,
Revisiting the bog!
Without commander, countless, still,
The regiment of wood and hill
In bright detachment stand.
Behold! Whose multitudes are these?
The children of whose turbaned seas,
Or what Circassian land?"
Emily Dickinson,"Poems: Three Series, Complete",THE GRASS.,"The grass so little has to do, --
A sphere of simple green,
With only butterflies to brood,
And bees to entertain,
And stir all day to pretty tunes
The breezes fetch along,
And hold the sunshine in its lap
And bow to everything;
And thread the dews all night, like pearls,
And make itself so fine, --
A duchess were too common
For such a noticing.
And even when it dies, to pass
In odors so divine,
As lowly spices gone to sleep,
Or amulets of pine.
And then to dwell in sovereign barns,
And dream the days away, --
The grass so little has to do,
I wish I were the hay!"
Emily Dickinson,"Poems: Three Series, Complete",X.,"A little road not made of man,
Enabled of the eye,
Accessible to thill of bee,
Or cart of butterfly.
If town it have, beyond itself,
'T is that I cannot say;
I only sigh, -- no vehicle
Bears me along that way."
Emily Dickinson,"Poems: Three Series, Complete",SUMMER SHOWER.,"A drop fell on the apple tree,
Another on the roof;
A half a dozen kissed the eaves,
And made the gables laugh.
A few went out to help the brook,
That went to help the sea.
Myself conjectured, Were they pearls,
What necklaces could be!
The dust replaced in hoisted roads,
The birds jocoser sung;
The sunshine threw his hat away,
The orchards spangles hung.
The breezes brought dejected lutes,
And bathed them in the glee;
The East put out a single flag,
And signed the fete away."
Emily Dickinson,"Poems: Three Series, Complete",PSALM OF THE DAY.,"A something in a summer's day,
As slow her flambeaux burn away,
Which solemnizes me.
A something in a summer's noon, --
An azure depth, a wordless tune,
Transcending ecstasy.
And still within a summer's night
A something so transporting bright,
I clap my hands to see;
Then veil my too inspecting face,
Lest such a subtle, shimmering grace
Flutter too far for me.
The wizard-fingers never rest,
The purple brook within the breast
Still chafes its narrow bed;
Still rears the East her amber flag,
Guides still the sun along the crag
His caravan of red,
Like flowers that heard the tale of dews,
But never deemed the dripping prize
Awaited their low brows;
Or bees, that thought the summer's name
Some rumor of delirium
No summer could for them;
Or Arctic creature, dimly stirred
By tropic hint, -- some travelled bird
Imported to the wood;
Or wind's bright signal to the ear,
Making that homely and severe,
Contented, known, before
The heaven unexpected came,
To lives that thought their worshipping
A too presumptuous psalm."
Emily Dickinson,"Poems: Three Series, Complete",THE SEA OF SUNSET.,"This is the land the sunset washes,
These are the banks of the Yellow Sea;
Where it rose, or whither it rushes,
These are the western mystery!
Night after night her purple traffic
Strews the landing with opal bales;
Merchantmen poise upon horizons,
Dip, and vanish with fairy sails."
Emily Dickinson,"Poems: Three Series, Complete",PURPLE CLOVER.,"There is a flower that bees prefer,
And butterflies desire;
To gain the purple democrat
The humming-birds aspire.
And whatsoever insect pass,
A honey bears away
Proportioned to his several dearth
And her capacity.
Her face is rounder than the moon,
And ruddier than the gown
Of orchis in the pasture,
Or rhododendron worn.
She doth not wait for June;
Before the world is green
Her sturdy little countenance
Against the wind is seen,
Contending with the grass,
Near kinsman to herself,
For privilege of sod and sun,
Sweet litigants for life.
And when the hills are full,
And newer fashions blow,
Doth not retract a single spice
For pang of jealousy.
Her public is the noon,
Her providence the sun,
Her progress by the bee proclaimed
In sovereign, swerveless tune.
The bravest of the host,
Surrendering the last,
Nor even of defeat aware
When cancelled by the frost."
Emily Dickinson,"Poems: Three Series, Complete",THE BEE.,"Like trains of cars on tracks of plush
I hear the level bee:
A jar across the flowers goes,
Their velvet masonry
Withstands until the sweet assault
Their chivalry consumes,
While he, victorious, tilts away
To vanquish other blooms.
His feet are shod with gauze,
His helmet is of gold;
His breast, a single onyx
With chrysoprase, inlaid.
His labor is a chant,
His idleness a tune;
Oh, for a bee's experience
Of clovers and of noon!"
Emily Dickinson,"Poems: Three Series, Complete",XVI.,"Presentiment is that long shadow on the lawn
Indicative that suns go down;
The notice to the startled grass
That darkness is about to pass."
Emily Dickinson,"Poems: Three Series, Complete",XVII.,"As children bid the guest good-night,
And then reluctant turn,
My flowers raise their pretty lips,
Then put their nightgowns on.
As children caper when they wake,
Merry that it is morn,
My flowers from a hundred cribs
Will peep, and prance again."
Emily Dickinson,"Poems: Three Series, Complete",XVIII.,"Angels in the early morning
May be seen the dews among,
Stooping, plucking, smiling, flying:
Do the buds to them belong?
Angels when the sun is hottest
May be seen the sands among,
Stooping, plucking, sighing, flying;
Parched the flowers they bear along."
Emily Dickinson,"Poems: Three Series, Complete",XIX.,"So bashful when I spied her,
So pretty, so ashamed!
So hidden in her leaflets,
Lest anybody find;
So breathless till I passed her,
So helpless when I turned
And bore her, struggling, blushing,
Her simple haunts beyond!
For whom I robbed the dingle,
For whom betrayed the dell,
Many will doubtless ask me,
But I shall never tell!"
Emily Dickinson,"Poems: Three Series, Complete",TWO WORLDS.,"It makes no difference abroad,
The seasons fit the same,
The mornings blossom into noons,
And split their pods of flame.
Wild-flowers kindle in the woods,
The brooks brag all the day;
No blackbird bates his jargoning
For passing Calvary.
Auto-da-fe and judgment
Are nothing to the bee;
His separation from his rose
To him seems misery."
Emily Dickinson,"Poems: Three Series, Complete",THE MOUNTAIN.,"The mountain sat upon the plain
In his eternal chair,
His observation omnifold,
His inquest everywhere.
The seasons prayed around his knees,
Like children round a sire:
Grandfather of the days is he,
Of dawn the ancestor."
Emily Dickinson,"Poems: Three Series, Complete",A DAY.,"I'll tell you how the sun rose, --
A ribbon at a time.
The steeples swam in amethyst,
The news like squirrels ran.
The hills untied their bonnets,
The bobolinks begun.
Then I said softly to myself,
""That must have been the sun!""
*  *  *
But how he set, I know not.
There seemed a purple stile
Which little yellow boys and girls
Were climbing all the while
Till when they reached the other side,
A dominie in gray
Put gently up the evening bars,
And led the flock away."
Emily Dickinson,"Poems: Three Series, Complete",XXIII.,"The butterfly's assumption-gown,
In chrysoprase apartments hung,
This afternoon put on.
How condescending to descend,
And be of buttercups the friend
In a New England town!"
Emily Dickinson,"Poems: Three Series, Complete",THE WIND.,"Of all the sounds despatched abroad,
There's not a charge to me
Like that old measure in the boughs,
That phraseless melody
The wind does, working like a hand
Whose fingers brush the sky,
Then quiver down, with tufts of tune
Permitted gods and me.
When winds go round and round in bands,
And thrum upon the door,
And birds take places overhead,
To bear them orchestra,
I crave him grace, of summer boughs,
If such an outcast be,
He never heard that fleshless chant
Rise solemn in the tree,
As if some caravan of sound
On deserts, in the sky,
Had broken rank,
Then knit, and passed
In seamless company."
Emily Dickinson,"Poems: Three Series, Complete",DEATH AND LIFE.,"Apparently with no surprise
To any happy flower,
The frost beheads it at its play
In accidental power.
The blond assassin passes on,
The sun proceeds unmoved
To measure off another day
For an approving God."
Emily Dickinson,"Poems: Three Series, Complete",XXVI.,"'T WAS later when the summer went
Than when the cricket came,
And yet we knew that gentle clock
Meant nought but going home.
'T was sooner when the cricket went
Than when the winter came,
Yet that pathetic pendulum
Keeps esoteric time."
Emily Dickinson,"Poems: Three Series, Complete",INDIAN SUMMER.,"These are the days when birds come back,
A very few, a bird or two,
To take a backward look.
These are the days when skies put on
The old, old sophistries of June, --
A blue and gold mistake.
Oh, fraud that cannot cheat the bee,
Almost thy plausibility
Induces my belief,
Till ranks of seeds their witness bear,
And softly through the altered air
Hurries a timid leaf!
Oh, sacrament of summer days,
Oh, last communion in the haze,
Permit a child to join,
Thy sacred emblems to partake,
Thy consecrated bread to break,
Taste thine immortal wine!"
Emily Dickinson,"Poems: Three Series, Complete",AUTUMN.,"The morns are meeker than they were,
The nuts are getting brown;
The berry's cheek is plumper,
The rose is out of town.
The maple wears a gayer scarf,
The field a scarlet gown.
Lest I should be old-fashioned,
I'll put a trinket on."
Emily Dickinson,"Poems: Three Series, Complete",BECLOUDED.,"The sky is low, the clouds are mean,
A travelling flake of snow
Across a barn or through a rut
Debates if it will go.
A narrow wind complains all day
How some one treated him;
Nature, like us, is sometimes caught
Without her diadem."
Emily Dickinson,"Poems: Three Series, Complete",THE HEMLOCK.,"I think the hemlock likes to stand
Upon a marge of snow;
It suits his own austerity,
And satisfies an awe
That men must slake in wilderness,
Or in the desert cloy, --
An instinct for the hoar, the bald,
Lapland's necessity.
The hemlock's nature thrives on cold;
The gnash of northern winds
Is sweetest nutriment to him,
His best Norwegian wines.
To satin races he is nought;
But children on the Don
Beneath his tabernacles play,
And Dnieper wrestlers run."
Emily Dickinson,"Poems: Three Series, Complete",XXXI.,"There's a certain slant of light,
On winter afternoons,
That oppresses, like the weight
Of cathedral tunes.
Heavenly hurt it gives us;
We can find no scar,
But internal difference
Where the meanings are.
None may teach it anything,
' T is the seal, despair, --
An imperial affliction
Sent us of the air.
When it comes, the landscape listens,
Shadows hold their breath;
When it goes, 't is like the distance
On the look of death."
Emily Dickinson,"Poems: Three Series, Complete",I.,"One dignity delays for all,
One mitred afternoon.
None can avoid this purple,
None evade this crown.
Coach it insures, and footmen,
Chamber and state and throng;
Bells, also, in the village,
As we ride grand along.
What dignified attendants,
What service when we pause!
How loyally at parting
Their hundred hats they raise!
How pomp surpassing ermine,
When simple you and I
Present our meek escutcheon,
And claim the rank to die!"
Emily Dickinson,"Poems: Three Series, Complete",TOO LATE.,"Delayed till she had ceased to know,
Delayed till in its vest of snow
Her loving bosom lay.
An hour behind the fleeting breath,
Later by just an hour than death, --
Oh, lagging yesterday!
Could she have guessed that it would be;
Could but a crier of the glee
Have climbed the distant hill;
Had not the bliss so slow a pace, --
Who knows but this surrendered face
Were undefeated still?
Oh, if there may departing be
Any forgot by victory
In her imperial round,
Show them this meek apparelled thing,
That could not stop to be a king,
Doubtful if it be crowned!"
Emily Dickinson,"Poems: Three Series, Complete",ASTRA CASTRA.,"Departed to the judgment,
A mighty afternoon;
Great clouds like ushers leaning,
Creation looking on.
The flesh surrendered, cancelled,
The bodiless begun;
Two worlds, like audiences, disperse
And leave the soul alone."
Emily Dickinson,"Poems: Three Series, Complete",IV.,"Safe in their alabaster chambers,
Untouched by morning and untouched by noon,
Sleep the meek members of the resurrection,
Rafter of satin, and roof of stone.
Light laughs the breeze in her castle of sunshine;
Babbles the bee in a stolid ear;
Pipe the sweet birds in ignorant cadence, --
Ah, what sagacity perished here!
Grand go the years in the crescent above them;
Worlds scoop their arcs, and firmaments row,
Diadems drop and Doges surrender,
Soundless as dots on a disk of snow."
Emily Dickinson,"Poems: Three Series, Complete",V.,"On this long storm the rainbow rose,
On this late morn the sun;
The clouds, like listless elephants,
Horizons straggled down.
The birds rose smiling in their nests,
The gales indeed were done;
Alas! how heedless were the eyes
On whom the summer shone!
The quiet nonchalance of death
No daybreak can bestir;
The slow archangel's syllables
Must awaken her."
